time,count
12:49:01,104
12:49:02,113
12:49:03,102
12:49:04,106
12:49:05,88
12:49:06,85
12:49:07,95
12:49:08,80
12:49:09,114
12:49:10,91
12:49:11,96
12:49:12,93
12:49:13,115
12:49:14,94
12:49:15,105
12:49:16,93
12:49:17,113
12:49:18,106
12:49:19,100
12:49:20,105
12:49:21,87
12:49:22,106
12:49:23,86
12:49:24,103
12:49:25,118
12:49:26,100
12:49:27,96
12:49:28,113
12:49:29,88
12:49:30,89
12:49:31,89
12:49:32,95
12:49:33,91
12:49:34,83
12:49:35,128
12:49:36,95
12:49:37,82
12:49:38,113
12:49:39,118
12:49:40,106
12:49:41,98
12:49:42,101
12:49:43,87
12:49:44,100
12:49:45,108
12:49:46,125
12:49:47,99
12:49:48,87
12:49:49,92
12:49:50,99
12:49:51,107
12:49:52,91
12:49:53,115
12:49:54,102
12:49:55,94
12:49:56,112
12:49:57,94
12:49:58,101
12:49:59,100
12:50:00,92
12:50:01,113
12:50:02,95
12:50:03,112
12:50:04,112
12:50:05,111
12:50:06,107
12:50:07,87
12:50:08,102
12:50:09,100
12:50:10,112
12:50:11,81
12:50:12,89
12:50:13,101
12:50:14,105
12:50:15,99
12:50:16,108
12:50:17,105
12:50:18,91
12:50:19,103
12:50:20,118
12:50:21,116
12:50:22,96
12:50:23,93
12:50:24,110
12:50:25,105
12:50:26,85
12:50:27,91
12:50:28,99
12:50:29,95
12:50:30,107
12:50:31,95
12:50:32,87
12:50:33,110
12:50:34,105
12:50:35,102
12:50:36,120
12:50:37,101
12:50:38,100
12:50:39,98
12:50:40,90
12:50:41,110
12:50:42,103
12:50:43,113
12:50:44,96
12:50:45,110
12:50:46,101
12:50:47,113
12:50:48,102
12:50:49,108
12:50:50,114
12:50:51,92
12:50:52,108
12:50:53,97
12:50:54,122
12:50:55,98
12:50:56,88
12:50:57,91
12:50:58,107
12:50:59,84
12:51:00,98
12:51:01,84
12:51:02,118
12:51:03,83
12:51:04,116
12:51:05,103
12:51:06,90
12:51:07,84
12:51:08,108
12:51:09,99
12:51:10,88
12:51:11,116
12:51:12,102
12:51:13,84
12:51:14,96
12:51:15,119
12:51:16,103
12:51:17,84
12:51:18,90
12:51:19,90
12:51:20,94
12:51:21,98
12:51:22,89
12:51:23,94
12:51:24,116
12:51:25,81
12:51:26,97
12:51:27,95
12:51:28,97
12:51:29,93
12:51:30,103
12:51:31,99
12:51:32,104
12:51:33,126
12:51:34,114
12:51:35,86
12:51:36,77
12:51:37,100
12:51:38,104
12:51:39,97
12:51:40,110
12:51:41,111
12:51:42,111
12:51:43,74
12:51:44,102
12:51:45,98
12:51:46,99
12:51:47,78
12:51:48,116
12:51:49,102
12:51:50,110
12:51:51,99
12:51:52,113
12:51:53,100
12:51:54,121
12:51:55,96
12:51:56,95
12:51:57,91
12:51:58,93
12:51:59,119
12:52:00,98
12:52:01,101
12:52:02,101
12:52:03,86
12:52:04,97
12:52:05,95
12:52:06,103
12:52:07,97
12:52:08,93
12:52:09,108
12:52:10,106
12:52:11,92
